Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AL,Int,Wis,Cha,Ego,Communication,Senses,Powers,MagicItems,FullText,Destruction,MinorArtifactFlag,MajorArtifactFlag,Abjuration,Conjuration,Divination,Enchantment,Evocation,Necromancy,Transmutation,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,LinkText,id,Mythic,LegendaryWeapon,Illusion,Universal,Scaling,IsIntelligentItem
Adamantine Breastplate,no aura (nonmagical),-,armor,"10,200 gp",30 lbs.,"This nonmagical breastplate is made of adamantine, giving its wearer damage reduction of 2/-.",,,Armor,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Adamantine Breastplate</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>no aura (nonmagical); <b>CL </b>-</h5><h5><b>Slot </b>armor; <b>Price </b>10,200 gp; <b>Weight </b>30 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This nonmagical breastplate is made of adamantine, giving its wearer damage reduction of 2/-.</p></h4></div>",,0,0,0,0,0,0,0,0,0,none,30,10200,0,,,Adamantine Breastplate,305,0,0,0,0,,0
Dwarven Plate,no aura (nonmagical),-,armor,"16,500 gp",50 lbs.,"This full plate is made of adamantine, giving its wearer damage reduction of 3/-.",,,Armor,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Dwarven Plate</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>no aura (nonmagical); <b>CL </b>-</h5><h5><b>Slot </b>armor; <b>Price </b>16,500 gp; <b>Weight </b>50 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This full plate is made of adamantine, giving its wearer damage reduction of 3/-.</p></h4></div>",,0,0,0,0,0,0,0,0,0,none,50,16500,0,,,Dwarven Plate,306,0,0,0,0,,0
Dragonhide Plate,no aura (nonmagical),-,armor,"3,300 gp",50 lbs.,"This suit of full plate is made of dragonhide, rather than metal, so druids can wear it. It is otherwise identical to masterwork full plate.",,,Armor,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Dragonhide Plate</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>no aura (nonmagical); <b>CL </b>-</h5><h5><b>Slot </b>armor; <b>Price </b>3,300 gp; <b>Weight </b>50 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This suit of full plate is made of dragonhide, rather than metal, so druids can wear it. It is otherwise identical to masterwork full plate.</p></h4></div>",,0,0,0,0,0,0,0,0,0,none,50,3300,0,,,Dragonhide Plate,307,0,0,0,0,,0
Elven Chain,no aura (nonmagical),-,armor,"5,150 gp",20 lbs.,"This extremely light chainmail is made of very fine mithral links. This armor is treated, in all ways, like light armor, including when determining proficiency. The armor has an arcane spell failure chance of 20%, a maximum Dexterity bonus of +4, and an armor check penalty of -2.",,,Armor,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Elven Chain</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>no aura (nonmagical); <b>CL </b>-</h5><h5><b>Slot </b>armor; <b>Price </b>5,150 gp; <b>Weight </b>20 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This extremely light chainmail is made of very fine mithral links. This armor is treated, in all ways, like light armor, including when determining proficiency. The armor has an arcane spell failure chance of 20%, a maximum Dexterity bonus of +4, and an armor check penalty of -2.</p></h4></div>",,0,0,0,0,0,0,0,0,0,none,20,5150,0,,,Elven Chain,308,0,0,0,0,,0
Mithral Shirt,no aura (nonmagical),-,armor,"1,100 gp",10 lbs.,"This extremely light chain shirt is made of very fine mithral links. The armor has an arcane spell failure chance of 10%, a maximum Dexterity bonus of +6, and no armor check penalty. It is considered light armor.",,,Armor,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Mithral Shirt</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>no aura (nonmagical); <b>CL </b>-</h5><h5><b>Slot </b>armor; <b>Price </b>1,100 gp; <b>Weight </b>10 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This extremely light chain shirt is made of very fine mithral links. The armor has an arcane spell failure chance of 10%, a maximum Dexterity bonus of +6, and no armor check penalty. It is considered light armor.</p></h4></div>",,0,0,0,0,0,0,0,0,0,none,10,1100,0,,,Mithral Shirt,309,0,0,0,0,,0
Darkwood Buckler,no aura (nonmagical),-,shield,205 gp,2.5 lbs.,"This nonmagical light wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.",,,Armor,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Darkwood Buckler</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>no aura (nonmagical); <b>CL </b>-</h5><h5><b>Slot </b>shield; <b>Price </b>205 gp; <b>Weight </b>2.5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This nonmagical light wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.</p></h4></div>",,0,0,0,0,0,0,0,0,0,none,2.5,205,0,,,Darkwood Buckler,310,0,0,0,0,,0
Darkwood Shield,no aura (nonmagical),-,shield,257 gp,5 lbs.,"This nonmagical heavy wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.",,,Armor,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Darkwood Shield</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>no aura (nonmagical); <b>CL </b>-</h5><h5><b>Slot </b>shield; <b>Price </b>257 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This nonmagical heavy wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.</p></h4></div>",,0,0,0,0,0,0,0,0,0,none,5,257,0,,,Darkwood Shield,311,0,0,0,0,,0
Mithral Heavy Shield,no aura (nonmagical),-,shield,"1,020 gp",5 lbs.,This heavy shield is made of mithral and thus is much lighter than a standard steel shield. It has a 5% arcane spell failure chance and no armor check penalty.,,,Armor,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Mithral Heavy Shield</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>no aura (nonmagical); <b>CL </b>-</h5><h5><b>Slot </b>shield; <b>Price </b>1,020 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This heavy shield is made of mithral and thus is much lighter than a standard steel shield. It has a 5% arcane spell failure chance and no armor check penalty.</p></h4></div>",,0,0,0,0,0,0,0,0,0,none,5,1020,0,,,Mithral Heavy Shield,312,0,0,0,0,,0
"Silver Dagger, Masterwork",no aura (nonmagical),-,none,322 gp,1 lb.,"As a masterwork weapon, this alchemical silver dagger has a +1 enhancement bonus on attack rolls (but not to damage rolls).",,,Weapon,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Silver Dagger, Masterwork</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>no aura (nonmagical); <b>CL </b>-</h5><h5><b>Slot </b>none; <b>Price </b>322 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>As a masterwork weapon, this alchemical silver dagger has a +1 enhancement bonus on attack rolls (but not to damage rolls).</p></h4></div>",,0,0,0,0,0,0,0,0,0,none,1,322,0,,,Silver Dagger; Masterwork,313,0,0,0,0,,0
Truecolor Dye,faint divination,1,none,50 gp,-,"Horticulturists harvest this magical dye from the pulp of rare plants found only in the lushest regions of Tian Xia. Bisby first encountered this dye while visiting the royal courts of the Miracle Samurai during his early adventures as a Pathfinder. He made a point of returning with several bottles, and the decision served him well over the next several decades. Truecolor dye produces vibrant colors, yet the actual color that registers varies according to the personality and temperment of the viewer-the viewer's good, neutral, or evil alignment component determines the color he sees. Good viewers see a pleasing gold, while evil viewers see a rich blood red. A neutral viewer sees the dye as its actual color, a dull orange. Centuries ago, truecolor dye was used in the miracle courts of Tian Xia as a way to trick emissaries into revealing their alignments, but its secret has long since been disseminated on the eastern continent and lost its hidden value. A DC 25 Knowledge (geography or nature) check reveals the dye's nature. A single vial of truecolor dye is enough to coat a square foot of material, or to ink 5 pages of text. Once applied, truecolor dye is permanent, although it can be washed off with universal solvent.","Craft Wondrous Item, detect good or detect evil",25 gp,Wondrous Item,AP 27,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Truecolor Dye</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint divination; <b>CL </b>1st</h5><h5><b>Slot </b>none; <b>Price </b>50 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>Horticulturists harvest this magical dye from the pulp of rare plants found only in the lushest regions of Tian Xia. Bisby first encountered this dye while visiting the royal courts of the Miracle Samurai during his early adventures as a Pathfinder. He made a point of returning with several bottles, and the decision served him well over the next several decades. <i>Truecolor dye</i> produces vibrant colors, yet the actual color that registers varies according to the personality and temperment of the viewer-the viewer's good, neutral, or evil alignment component determines the color he sees. Good viewers see a pleasing gold, while evil viewers see a rich blood red. A neutral viewer sees the dye as its actual color, a dull orange. Centuries ago, <i>truecolor dye</i> was used in the miracle courts of Tian Xia as a way to trick emissaries into revealing their alignments, but its secret has long since been disseminated on the eastern continent and lost its hidden value. A DC 25 Knowledge (geography or nature) check reveals the dye's nature. A single vial of <i>truecolor dye</i> is enough to coat a square foot of material, or to ink 5 pages of text. Once applied, <i>truecolor dye</i> is permanent, although it can be washed off with <i>universal solvent</i>.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>detect good or detect evil</i>; <b>Cost </b>25 gp</h5></div>",,0,0,0,0,0,0,0,0,0,NULL,NULL,50,25,,,NULL,325,0,0,0,0,,0
Bones of Founder Raccona,faint enchantment,4,none,"2,250 gp",0 to 1 lb. each (entire set weighs 8 lbs.),"The bones of Founder Raccona are small, blackened bone fragments, most no more than an inch long, and that radiate a faint, soothing warmth. Each bone grants the bearer 1 temporary hit point. These temporary hit points stack with other temporary hit points gained from possessing multiple bones of Founder Raccona, but not with those from other sources. These temporary hit points return daily at dawn. There are a total of 32 bones that bear the power of the Founder Raccona. In addition to granting temporary hit points, the bearer of one or more of these bones is always aware of the presence of other bones of Founder Raccona within 50 feet. The bones also possess a mild drive to seek out their remaining pieces. Every time a character acquires a bone of Founder Raccona, she must make a Will save (DC 10 + the number of bones of Founder Raccona in her possession). Failure causes the character to have a dream of Founder Raccona that encourages her to seek out the other bones. This dream does not force the character to act, but suggests that seeking the remaining bones would be a benevolent act. Should all 32 bones of Founder Raccona ever be gathered together, they immediately crumble to dust and release Raccona's soul to the afterlife, losing all power.","Craft Wondrous Item, aid","1,125 gp",Wondrous Item,AP 27,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Bones of Founder Raccona</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint enchantment; <b>CL </b>4th</h5><h5><b>Slot </b>none; <b>Price </b>2,250 gp; <b>Weight </b>0 to 1 lb. each (entire set weighs 8 lbs.)</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>The <i>bones of Founder Raccona</i> are small, blackened bone fragments, most no more than an inch long, and that radiate a faint, soothing warmth. Each bone grants the bearer 1 temporary hit point. These temporary hit points stack with other temporary hit points gained from possessing multiple <i>bones of Founder Raccona</i>, but not with those from other sources. These temporary hit points return daily at dawn. There are a total of 32 bones that bear the power of the Founder Raccona. In addition to granting temporary hit points, the bearer of one or more of these bones is always aware of the presence of other <i>bones of Founder Raccona</i> within 50 feet. The bones also possess a mild drive to seek out their remaining pieces. Every time a character acquires a <i>bone of Founder Raccona,</i> she must make a Will save (DC 10 + the number of <i>bones of Founder Raccona</i> in her possession). Failure causes the character to have a dream of Founder Raccona that encourages her to seek out the other bones. This dream does not force the character to act, but suggests that seeking the remaining bones would be a benevolent act. Should all 32 <i>bones of Founder Raccona</i> ever be gathered together, they immediately crumble to dust and release Raccona's soul to the afterlife, losing all power.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>aid</i>; <b>Cost </b>1,125 gp</h5></div>",,0,0,0,0,0,0,0,0,0,NULL,NULL,2250,1125,,,NULL,327,0,0,0,0,,0
